,refID,doi,pubmed_id,title,authors,journal,year,month,day,FullText,pub_decade,Reported_SiC,Reported_Category,Reported_Data
125,"Kuliasha, C 2018",10.1109/EMBC.2018.8513458,30441478.0,In vitro reactive-accelerated-aging (RAA) assessment of Tissue-Engineered Electronic Nerve Interfaces (TEENI).,"Kuliasha, CA and Judy, JW",2018 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2018,7.0,,Y,2010,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
126,"Kuliasha, C 2021",10.1002/admt.202100149,34632047.0,The materials science foundation supporting the microfabrication of reliable polyimide-metal neuroelectronic interfaces.,"Kuliasha, CA and Judy, JW",Advanced Materials Technologies,2021,5.0,3.0,Y,2020,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication']"
128,"Lei, X 2016",10.1088/1741-2560/13/4/046016,27323882.0,SiC protective coating for photovoltaic retinal prosthesis.,"Lei, X and Kane, S and Cogan, SF and Lorach, H and Galambos, L and Huie, P and Mathieson, K and Kamins, T and Harris, J and Palanker, D",Journal of Neural Engineering,2016,6.0,21.0,Y,2010,['a-SiC'],['Neural'],"['Animal', 'Material Properties']"
149,"Mittnacht, A 2019",10.1109/NER.2019.8717179,,Stability of polyimide integrated ITO electrodes.,"Mittnacht, A and Alt, MT and Stieglitz, T and Eickenscheidt, M",2019 9th International IEEE/EMBS Conference on Neural Engineering (NER),2019,3.0,,Y,2010,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
159,"Nguyen, C 2021",10.1109/EMBC46164.2021.9629701,,Evaluation of amorphous silicon carbide on Utah Electrode Arrays by thermal accelerated aging.,"Nguyen, CK and Abbott , JR and  Negi , S and Cogan, SF",2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),2021,,,Y,2020,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
163,"Nguyen, T 2022a",10.1021/acsnano.2c03188,35816450.0,"Integrated, transparent silicon carbide electronics and sensors for radio frequency biomedical therapy.","Nguyen, TK and Yadav, S and Truong, TA and Han, M and Barton, M and Leitch, M and Guzman, P and Dinh, T and Ashok, A and Vu, H and Dau, V and Haasmann, D and Chen, L and Park, Y and Do, TN and Yamauchi, Y and Rogers, JA and Nguyen, NT and Phan, HP",ACS Nano,2022,7.0,26.0,Y,2020,['3C-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro', 'Ex Vivo']"
164,"Nguyen, T 2022b",10.1073/pnas.2203287119,35939711.0,"Wide bandgap semiconductor nanomembranes as a long-term biointerface for flexible, implanted neuromodulator.","Nguyen, TK and Barton, M and Ashok, A and Truong, TA and Yadav, S and Leitch, M and Nguyen, TV and Kashaninejad, N and Dinh, T and Hold, L and Yamauchi, Y and Nguyen, NT and Phan, HP",Proceedings of the National Academy of Sciences of the United States of America,2022,8.0,16.0,Y,2020,['Other'],"['Neural', 'Biosensors']","['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro']"
171,"Panday, R 2006",10.4028/www.scientific.net/MSF.527-529.1107,,Mechanical testing of flexible silicon carbide interconnect ribbons.,"Panday, R and Fu, XA and Rajgopal, S and Lisby, T and Nikles, SA and Najafi, K and Mehregany, M",Materials Science Forum,2006,10.0,1.0,Y,2000,['3C-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
172,"Pham, T 2020",10.1002/adfm.202004655,,A versatile sacrificial layer for transfer printing of wide bandgap materials for implantable and stretchable  bioelectronics.,"Pham, TA and Nguyen, TK and Vadivelu, RK and Dinh, T and Qamar, A and Yadav, S and Yamauchi, Y and Rogers, JA and Nguyen, NT and Phan, HP",Advanced Functional Materials ,2020,9.0,4.0,Y,2020,['Other'],"['Neural', 'Biosensors', 'Cardio']","['Material Properties', 'Fabrication', 'Benchtop']"
176,"Reyes, M 2013",10.1149/05804.0119ecst,,3C-SiC on Si hetero-epitaxial growth for electronic and biomedical applications.,"Reyes, M and Frewin, CL and Ward, PJ and Saddow, SE",ECS Transactions,2013,,,Y,2010,['3C-SiC'],"['Neural', 'Biosensors']","['Material Properties', 'Fabrication']"
178,"Saddow, S 2010",10.1557/PROC-1246-B08-08,,Single-crystal silicon carbide: a biocompatible and hemocompatible semiconductor for advanced biomedical applications.,"Saddow, SE and Coletti, C and Frewin, CL and Schettini, N and Oliveros, A and Jarosezski, M",MRS Online Proceedings Library,2010,8.0,10.0,Y,2010,"['3C-SiC', '4H-SiC', '6H-SiC']","['Neural', 'OtherTech']","['Material Properties', 'Fabrication', 'Benchtop', 'In Vitro']"
197,"Vomero, M 2017a",10.1109/NER.2017.8008347,,Improved long-term stability of thin-film glassy carbon electrodes through the use of silicon carbide and amorphous carbon.,"Vomero, M and Castagnola, E and Ordonez, JS and Carli, S and Zucchini, E and Maggiolini, E and Gueli, C and Goshi, N and Fadiga, L and Ricci, D and  Kassegne, S and Stieglitz, T",2017 8th International IEEE/EMBS Conference on Neural Engineering (NER),2017,5.0,,Y,2010,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
198,"Vomero, M 2017b",10.1002/adbi.201700081,,Incorporation of silicon carbide and diamond-like carbon as adhesion promoters improves in vitro and in vivo stability of thin-film glassy carbon electrocorticography arrays.,"Vomero, M and Castagnola, E and Ordonez, JS and Carli, S and Zucchini, E and Maggiolini, E and Gueli, C and Goshi, N and Ciarpella, F and Cea, C and Fadiga, L and Ricci, D and Kassegne, S and Stieglitz, T",Advanced Biosystems,2017,11.0,,Y,2010,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop', 'In Vitro']"
204,"Wu, K 2024",10.1002/adma.202310201,38320746.0,Optical monitoring of water side permeation in thin film encapsulation.,"Wu, K and Mariello, M and Leterrier, Y and Lacour, SP",Advanced Materials,2024,6.0,,Y,2020,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
