,refID,doi,pubmed_id,title,authors,journal,year,month,day,pub_decade,Reported_SiC,Reported_Category,Reported_Data
107,"Hsu, J 2008",10.18494/SAM.2008.515,<NA>,"Effect of thermal and deposition processes on surface morphology, crystallinity, and adhesion of Parylene-C","Hsu, JM and Rieth, L and Kammer, S and Orthner, M and Solzbacher, F",SENSORS AND MATERIALS,2008,2.0,4.0,2000,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
114,"Jeakle, E 2023",10.3390/mi14030680,36985087,Chronic Stability of Local Field Potentials Using Amorphous Silicon Carbide Microelectrode Arrays Implanted in the Rat Motor Cortex,"Jeakle, EN and Abbott, JR and Usoro, JO and Wu, Y and Haghighi, P and Radhakrishna, R and Sturgill, BS and Nakajima, S and Thai, TTD and Pancrazio, JJ and Cogan, SF and Hernandez-Reynoso, AG",Micromachines,2023,3.0,19.0,2020,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
117,"Joshi-Imre, A 2019",10.1088/1741-2552/ab1bc8,31013489,Chronic recording and electrochemical performance of amorphous silicon carbide-coated Utah electrode arrays implanted in rat motor cortex,"Joshi-Imre, A and Black, BJ and Abbott, J and Kanneganti, A and Rihani, R and Chakraborty, B and Danda, VR and Maeng, J and Sharma, R and Rieth, L and Negi, S and Pancrazio, JJ and Cogan, SF",Journal of neural engineering,2019,7.0,10.0,2010,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
119,"Khajehzadeh, M 2025",10.1088/1741-2552/addb79,40398441,"Amorphous silicon carbide probe mechanics for insertion in the cerebral cortex of rats, pigs, and macaques.","Khajehzadeh, M and Geramifard, N and Abbott, JR and Wu, Y and Tirumala Kumara, S and Thai, T and Hernandez-Reynoso, AG and Joshi-Imre, A and Blum, KP and Miller, LE and Pascual, JM and Pancrazio, JJ and Cogan, SF",Journal of neural engineering,2025,6.0,3.0,2020,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
127,"Kuliasha, C 2018",10.1109/EMBC.2018.8513458,30441478,in vitro Reactive-Accelerated-Aging (RAA) Assessment of Tissue-Engineered Electronic Nerve Interfaces (TEENI),"Kuliasha, C. A. and Judy, J. W.",2018 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2018,7.0,,2010,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
134,"Lin, C 2020",10.3390/mi11121064,33266050,Bio-Compatibility and Bio-Insulation of Implantable Electrode Prosthesis Ameliorated by A-174 Silane Primed Parylene-C Deposited Embedment,"Lin, CY and Lou, WS and Chen, JC and Weng, KY and Shih, MC and Hung, YW and Chen, ZY and Wang, MC",Micromachines,2020,11.0,30.0,2020,['a-SiC'],['Neural'],"['Animal', 'Benchtop', 'In Vitro', 'Ex Vivo']"
151,"Mittnacht, A 2019",10.1109/NER.2019.8717179,<NA>,Stability of polyimide integrated ITO electrodes,"Mittnacht, A. and Alt, M. T. and Stieglitz, T.  and Eickenscheidt, M.",2019 9th International IEEE/EMBS Conference on Neural Engineering (NER),2019,3.0,,2010,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
157,"Montero Arevalo, B 2023",10.3390/mi14061262,37374847,SiC Electrochemical Sensor Validation for Alzheimer Aβ42 Antigen Detection,"Montero Arevalo, B and Seufert BI and Hossain MS and Bernardin E and Takshi A and Saddow SE and Schettini N",Micromachines,2023,6.0,16.0,2020,"['a-SiC', '4H-SiC']","['Neural', 'Biosensors']","['Fabrication', 'Benchtop']"
161,"Nguyen, C 2021",10.1109/EMBC46164.2021.9629701,<NA>,Evaluation of Amorphous Silicon Carbide on Utah Electrode Arrays by Thermal Accelerated Aging,"Nguyen, C. K. and Abbott , J. R. and  Negi , S. and Cogan, S. F. ",2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),2021,,,2020,['a-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
162,"Nguyen, C 2022",10.1109/IEDM45625.2022.10019503,<NA>,Increasing the Lifetime of the Implantable Neural Devices,"Nguyen, CK and Srikanthan,B and R. Bhandari and Cogan, SF and Negi, S",2022 International Electron Devices Meeting (IEDM),2022,12.0,,2020,['a-SiC'],['Neural'],"['Fabrication', 'Benchtop']"
