refID,doi,year,pub_decade,SiC_type,Sample_substrate,Sample_count,Control_material,Sterilization_method,Cell_species,Cell_origin,Cell_type,Culture_medium,Culture_duration_(days),Treatment,Assay,Readout,Readout_standard_used,Histology_antibodies,MainResult
"Nguyen, T 2022a",10.1021/acsnano.2c03188,2022,2020,3C-SiC,Glass,,"H2O2 death control, growth control",Not Reported,Human,Immortalized,Epithelial (MDA-MB-231),Not Reported,5,"Thermal Ablation, 0.15W, 30degC",Cell Proliferation,Cell Proliferation,NotReported,"ActinGreen™ 488, NucBlue™ ReadyProbe™, ABcam™ WST-8",Same cell proliferation as growth control
"Nguyen, T 2022a",10.1021/acsnano.2c03188,2022,2020,3C-SiC,Glass,,"H2O2 death control, growth control",Not Reported,Human,Immortalized,Epithelial (MDA-MB-231),Not Reported,5,"Thermal Ablation, 0.22W",Cell Proliferation,Cell Proliferation,NotReported,"ActinGreen™ 488, NucBlue™ ReadyProbe™, ABcam™ WST-8",Cells retained adhesion
"Nguyen, T 2022a",10.1021/acsnano.2c03188,2022,2020,3C-SiC,Glass,,"H2O2 death control, growth control",Not Reported,Human,Immortalized,Epithelial (MDA-MB-231),Not Reported,5,"Thermal Ablation, 3.5W, 75degC",Cell Proliferation,Cell Proliferation,NotReported,"ActinGreen™ 488, NucBlue™ ReadyProbe™, ABcam™ WST-8","Gradual ablation, remaining viable cluster after 1 min"
"Nguyen, T 2022a",10.1021/acsnano.2c03188,2022,2020,3C-SiC,Glass,,"H2O2 death control, growth control",Not Reported,Human,Immortalized,Epithelial (MDA-MB-231),Not Reported,5,None,Cell Proliferation,Cell Proliferation,NotReported,"ActinGreen™ 488, NucBlue™ ReadyProbe™, ABcam™ WST-8",Complete ablation from electrode area after less than 10sec
"Nguyen, T 2022b",10.1073/pnas.2203287119,2022,2020,3C-SiC,Polyimide,,,"80% Ethanol, 3x wash sterile 1x Hank's balanced salt solution, 30min UV radiation",Human,Immortalized,Mammary Fibroblast,"DMEM, 10% FBS ",5,None,"Cell Proliferation, Morphology","Cell Morphology, Cell Proliferation",NotReported,"ActinGreen™ 488, NucBlue™ ReadyProbe™, ABcam™ WST-8",Comparable proliferation and morphology
"Saddow, S 2014a",10.1149/06107.0101ecst,2014,2010,3C-SiC,Silicon,10,"Gold, Copper",Not Reported,Mouse,Immortalized,Fibroblast (L929),Not Reported,,None,Cytotoxicity,Cytotoxiciy,ISO 10993-5,None,Comparable proliferation
"Saddow, S 2014a",10.1149/06107.0101ecst,2014,2010,a-SiC,Silicon,10,"Gold, Copper",Not Reported,Mouse,Immortalized,Fibroblast (L929),Not Reported,,None,Cytotoxicity,Cytotoxiciy,ISO 10993-5,None,Comparable proliferation
"Saddow, S 2014a",10.1149/06107.0101ecst,2014,2010,a-SiC/SiO2,Silicon,10,"Gold, Copper",Not Reported,Mouse,Immortalized,Fibroblast (L929),Not Reported,,None,Cytotoxicity,Cytotoxiciy,ISO 10993-5,None,Comparable proliferation
"Saddow, S 2014a",10.1149/06107.0101ecst,2014,2010,a-SiC/3C-SiC,Silicon,10,"Gold, Copper",Not Reported,Mouse,Immortalized,Fibroblast (L929),Not Reported,,None,Cytotoxicity,Cytotoxiciy,ISO 10993-5,None,Comparable proliferation
"Saddow, S 2014a",10.1149/06107.0101ecst,2014,2010,a-SiC/SiO2/3C-SiC,Silicon,10,"Gold, Copper",Not Reported,Mouse,Immortalized,Fibroblast (L929),Not Reported,,None,Cytotoxicity,Cytotoxiciy,ISO 10993-5,None,Comparable proliferation
"Saddow, S 2014b",10.1109/NMDC.2014.6997419,2014,2010,Silicon,Silicon,3,"Gold, Copper",Not Reported,Mouse,Immortalized,Fibroblast (L929),"DMEM, 10% FBS ",4,None,Cell Proliferation,Cytotoxiciy,"ISO 10993-5, ISO 10993-12",None,Barely above hemocompatibility metric of 70% viable cells vs. baseline. Unacceptable degree of platelet binding and activation.
"Saddow, S 2014b",10.1109/NMDC.2014.6997419,2014,2010,SiO2,Silicon,3,"Gold, Copper",Not Reported,Mouse,Immortalized,Fibroblast (L929),"DMEM, 10% FBS ",4,None,Cell Proliferation,Cytotoxiciy,"ISO 10993-5, ISO 10993-12",None,Fails hemocompatibility. Unacceptable degree of platelet binding and activation.
"Saddow, S 2014b",10.1109/NMDC.2014.6997419,2014,2010,3C-SiC,Silicon,3,"Gold, Copper",Not Reported,Mouse,Immortalized,Fibroblast (L929),"DMEM, 10% FBS ",4,None,Cell Proliferation,Cytotoxiciy,"ISO 10993-5, ISO 10993-12",None,"High hemocompatibility. Little platelet binding, no platelet activation."
"Saddow, S 2014b",10.1109/NMDC.2014.6997419,2014,2010,a-SiC,Silicon,3,"Gold, Copper",Not Reported,Mouse,Immortalized,Fibroblast (L929),"DMEM, 10% FBS ",4,None,Cell Proliferation,Cytotoxiciy,"ISO 10993-5, ISO 10993-12",None,"High hemocompatibility. Some patelet attachment, some activation."
"Vomero, M 2017b",10.1002/adbi.201700081,2017,2010,a-SiC,"Polyimide, Diamond-Like Carbon, a-SiC",8,Glass Coverslip,"Ethanol, PBS rinse",Rat,Tail,Fibroblast,"Advanced DMEM, 10% FBS, Pen/Strep, HEPES, Glutamine",12,None,"Triple Stain (FDA, Hoechst-33342, PI)",Cell Viability,NotReported,"GFAP, DAPI, ED1","High viability, negligible difference vs control"
