refID,doi,year,SiC_type,SiC_use,SiC_fab_method,
"Pham, T 2020",10.1002/adfm.202004655,2020,3C-SiC,Flexible device,Hot-Wall CVD,
"Phan, H 2019",10.1021/acsnano.9b05168,2019,3C-SiC,Flexible device,Hot-Wall CVD,
"Reyes, M 2013",10.1149/05804.0119ecst,2013,3C-SiC,Test coupon,Hot-Wall CVD,
Saddow 2011,10.4028/www.scientific.net/MSF.679-680.824,2011,3C-SiC,Test coupon (biocompatibility),PECVD,
Saddow 2011,10.4028/www.scientific.net/MSF.679-680.824,2011,4H-SiC,Test coupon (biocompatibility),CVD ?,<<<
Saddow 2011,10.4028/www.scientific.net/MSF.679-680.824,2011,6H-SiC,Test coupon (biocompatibility),CVD ?,<<<
"Saddow, S 2014a",10.1149/06107.0101ecst,2014,a-SiC,Test coupon (biocompatibility),PECVD,
"Saddow, S 2014b",10.1109/NMDC.2014.6997419,2014,3C-SiC,Test coupon (biocompatibility),PECVD,
"Vomero, M 2017a",10.1109/NER.2017.8008347,2017,?,Adhesion promoter,PECVD,<<<
"Vomero, M 2017b",10.1002/adbi.201700081,2017,?,Adhesion promoter,PECVD,<<<
"Wu, K 2024",10.1002/adma.202310201,2024,?,Encapsulating layer,PECVD,<<<
