refID,doi,pubmed_id,title,authors,journal,year,month,day,SiC_label_count,SiC_Type,amorphousSiC,otherSiC,crystalline_other_unspecified,crystalline_3C-SiC,crystalline_4H-SiC,crystalline_6H-SiC,Category_label_count,Category,NeuralEng,Biosensor,Cardiovascular,Orthopedic_Dental,DrugRelease,GeneralImplants_OtherTech,Data_label_count,Data_Reported,InVivo_animal,InVivo_human,MaterialProperties,FabricationMethods,Benchtop,CellCulture_InVitro,ExVivo
"Chen, F 2019",10.1039/c9na00237e,33313479,Silicon Carbide Nanoparticles as a Photoacoustic and Photoluminescent Dual-Imaging Contrast Agent for Long-Term Cell Tracking,"Chen, F and Zhao, ER and Hu, T and Shi, Y and Sirbuly, DJ and Jokerst, JV",Nanoscale Advances,2019,7,25,1,3C-SiC,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,OtherTechnologies,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CellCulture,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Chen, X 2022",10.1177/08853282221076226,35321568,Fabrication of porous gehlenite coating on Al(2)O(3)-ZrO(2)-SiC composite ceramics and its in vitro biological activities,"Chen, X and Li, J and Gu, S and Wu, Z and Wen, F and Luo, L and Li, J and Chen, Y",Journal of biomaterials applications,2022,7,1,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"MaterialProperties,Benchtop",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"Chen, Z 2019",10.1111/jace.16525,31819280,Demonstration of SiO2/SiC-based protective coating for dental ceramic prostheses,"Chen, ZT and Fares, C and Elhassani, R and Ren, F and Kim, M and Hsu, SM and Clark, AE and Esquivel-Upshaw, JF",JOURNAL OF THE AMERICAN CERAMIC SOCIETY,2019,4,30,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"MaterialProperties,Benchtop",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"Christel, P 1987",https://pubmed.ncbi.nlm.nih.gov/3624286/,3624286,Development of a carbon-carbon hip prosthesis,"Christel, P and Meunier, A and Leclercq, S and Bouquet, P and Buttazzoni, B",Journal of biomedical materials research,1987,8,,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"MaterialProperties,ExVivo",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Cogan, S 2003",10.1002/jbm.a.10152,14613234,Plasma-enhanced chemical vapor deposited silicon carbide as an implantable dielectric coating,"Cogan, SF and Edell, DJ and Guzelian, AA and Ping Liu, Y and Edell, R",Journal of biomedical materials research. Part A,2003,12,1,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,"MaterialProperties,Benchtop,CellCulture,InVivo_Animal",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"Cogan, S 2013",10.1109/NER.2013.6696106,,Stability of thin-film wireless recording and stimulation devices for epilepsy monitoring,"Cogan, Stuart F. and Troyk, Philip R. and DeMichele, Glenn",2013 6th International IEEE/EMBS Conference on Neural Engineering (NER),2013,11,,2,"a-SiC,other",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Benchtop,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Colett, C 2007",10.1109/IEMBS.2007.4353678,18003344,Biocompatibility and wettability of crystalline SiC and Si surfaces,"Colett, C and Jaroszeski, M.J. and Pallaoro, A and Hoff, A.M. and Iannotta, S. and Saddow, S.E.",2007 29th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,2007,8,23,4,"3C-SiC,4H-SiC,6H-SiC,other",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1,Biosensors,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,MaterialProperties,CellCulture",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Cvancara, P 2019",10.1109/NER.2019.8716920,,3D Patterned Thin-Film Electrodes for Neural Prosthetics-Proof of Concept,"Cvancara, P. and Newman, S. and Stieglitz, T.",2019 9th International IEEE/EMBS Conference on Neural Engineering (NER),2019,3,,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,MaterialProperties,Benchtop",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Cvancara, P 2020",10.1088/1741-2552/ab9a9a,32512544,Stability of flexible thin-film metallization stimulation electrodes: analysis of explants after first-in-human study and improvement of in vivo performance,"Cvancara, P and Boretius, T and  Lopez-Alvarez, VM and Maciejasz, P and Andreu, D and Raspopovic, S and Petrini, F and Micera, S and Granata, G and Fernandez, E and Rossini, PM and Yoshida, K and Jensen, W and Divoux, JL and Guiraud, D and Navarro, X and Stieglitz, T",Journal of neural engineering,2020,7,10,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,"Fabrication,MaterialProperties,Benchtop,InVivo_Animal,InVivo_Human",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Dahm, J 2009",10.4244/eijv4i4a85,19284073,"Clinical investigation into the observation that silicon carbide coating on cobalt chromium stents leads to early differentiating functional endothelial layer, increased safety and DES-like recurrent stenosis rates: results of the PRO-Heal Registry (PRO-Kinetic enhancing rapid in-stent endothelialisation)","Dahm, JB and Willems, T and Wolpers, HG and Nordbeck, H and Becker, J and Ruppert, J",EuroIntervention,2009,1,,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Cardiovascular,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,"MaterialProperties,CellCulture,InVivo_Human",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
